BRASOV,5349,1047,524,952,1118,844,864,3
SUCEAVA,9984,1343,709,1927,2625,1577,1803,3
SATU-MARE,4411,627,290,1025,1226,638,605,3
BRAILA,3315,398,181,452,838,627,819,3
VALCEA,4501,599,385,550,1065,1019,883,3
BOTOSANI,2833,259,146,314,696,640,778,3
MARAMURES,3352,621,309,562,785,577,498,3
CLUJ,4107,403,208,752,1015,881,848,3
ALBA,4988,714,497,867,1152,888,870,3
NEAMT,5495,513,247,743,1485,1237,1270,3
BISTRITA NASAUD,4015,488,247,581,986,878,835,3
DAMBOVITA,4701,671,379,712,1027,936,976,3
BIHOR,2808,282,169,481,710,534,632,3
IASI,8072,919,362,1023,2061,1709,1998,3
CALARASI,2941,400,114,548,761,509,609,3
ARGES,7796,882,553,1390,2021,1542,1408,3
CONSTANTA,5171,744,377,724,1149,918,1259,3
HUNEDOARA,6316,599,391,973,1684,1621,1048,3
HARGHITA,4552,863,375,891,1071,699,653,3
VRANCEA,4888,566,326,780,1196,1023,997,3
SALAJ,4237,600,319,908,1075,670,665,3
MUNICIPIUL BUCURESTI,13537,175,1207,3037,3720,3107,2291,3
COVASNA,3834,1353,654,484,600,383,360,3
MEHEDINTI,5322,313,233,752,1507,1263,1254,3
TELEORMAN,8197,737,451,1341,2066,1790,1812,3
GIURGIU,1942,337,188,194,484,431,308,3
ILFOV,935,152,44,135,233,208,163,3
VASLUI,8697,547,295,1194,2657,2101,1903,3
CARAS-SEVERIN,2287,236,127,331,556,522,515,3
GORJ,3730,272,177,543,973,939,826,3
BUZAU,8070,615,414,1172,2159,1958,1752,3
DOLJ,15022,1502,972,2378,4065,3189,2916,3
ARAD,2642,278,140,381,645,608,590,3
TOTAL,224820,26664,15328,35536,56960,45861,44471,3
IALOMITA,3626,410,224,454,909,722,907,3
MURES,5560,1258,467,1024,1296,720,795,3
BACAU,6431,948,416,855,1506,1278,1428,3
TIMIS,2301,241,157,393,610,457,443,3
SIBIU,3457,457,278,651,861,579,631,3
PRAHOVA,5687,874,383,775,1392,1278,985,3
TULCEA,2392,344,198,280,603,544,423,3
OLT,7094,668,384,826,1807,1624,1785,3
GALATI,10225,1409,811,1181,2565,2193,2066,3
ARGES,7934,1096,516,1384,1992,1575,1371,6
CALARASI,3328,410,127,653,882,611,645,6
COVASNA,3564,1450,382,463,564,365,340,6
BRAILA,3392,541,241,416,789,552,853,6
GALATI,10872,2122,770,1107,2499,1912,2462,6
BUZAU,7446,881,296,968,1810,1756,1735,6
GORJ,4030,708,217,489,908,909,799,6
BISTRITA NASAUD,3934,757,235,472,855,810,805,6
CLUJ,4069,485,223,743,961,867,790,6
BIHOR,2699,410,163,390,629,461,646,6
CONSTANTA,4726,1103,318,599,911,702,1093,6
HARGHITA,4605,1097,377,844,1012,656,619,6
HUNEDOARA,5795,795,393,909,1443,1295,960,6
IALOMITA,3296,427,180,396,777,623,893,6
ALBA,4757,936,415,737,1051,785,833,6
