CALARASI,3871,1850,2021,421,3450,5.28,5.66,4.98,3
BOTOSANI,3424,1581,1843,593,2831,3.18,3.19,3.17,3
TELEORMAN,9024,3819,5205,974,8050,8.32,7.61,8.93,3
OLT,8065,3748,4317,1001,7064,6.23,6.77,5.83,3
MUN. BUCURESTI,12369,6750,5619,1168,11201,1.01,1.1,0.92,3
CONSTANTA,6314,4111,2203,2493,3821,2.32,3.58,1.39,3
BISTRITA NASAUD,3539,1764,1775,1631,1908,3.15,3.62,2.79,3
DAMBOVITA,5212,2795,2417,1012,4200,3.17,4.29,2.43,3
GIURGIU,2223,1200,1023,290,1933,3.45,4.24,2.83,3
CLUJ,4211,2079,2132,993,3218,1.2,1.35,1.08,3
BRASOV,5998,2956,3042,693,5305,2.38,2.7,2.14,3
BIHOR,2933,1537,1396,1079,1854,1.25,1.48,1.07,3
MARAMURES,3783,1959,1824,1052,2731,2.15,2.48,1.89,3
DOLJ,16509,7201,9308,1521,14988,7.34,,,3
GALATI,9868,4586,5282,920,8948,5.95,6.29,5.69,3
HUNEDOARA,6016,3201,2815,1852,4164,3.87,4.61,3.27,3
ALBA,5677,2746,2931,1365,4312,3.77,3.96,3.6,3
HARGHITA,5134,2348,2786,1134,4000,4.33,4.72,4.05,3
SIBIU,4508,2213,2295,805,3703,2.44,2.71,2.24,3
SUCEAVA,10996,4692,6304,2702,8294,5.75,5.69,5.79,3
VASLUI,8988,3707,5281,753,8235,8.48,7.49,9.35,3
ALBA,"4,757","2,303","2,454","1,148","3,609",2.81,2.95,2.7,6
ARAD,2126,1135,991,886,1240,1.12,1.37,0.92,3
VRANCEA,4762,2066,2696,553,4209,4.21,3.97,4.41,3
TIMIS,2124,1064,1060,809,1315,0.65,0.76,0.56,3
NEAMT,6806,2902,3904,1300,5506,4.52,4.46,4.57,3
Total,236726,112095,124631,43022,193704,3.02,3.2,2.87,3
COVASNA,3020,1430,1590,377,2643,3.88,4.19,3.64,3
COVASNA,"3,564","1,728","1,836",356,"3,208",4.18,4.35,4.04,6
BIHOR,"2,699","1,491","1,208","1,015","1,684",1.02,1.25,0.83,6
ARGES,8270,3930,4340,1831,6439,3.64,3.81,3.51,3
ARAD,"2,378","1,268","1,110",779,"1,599",1.13,1.31,0.98,6
IALOMITA,4155,2126,2029,620,3535,5.33,6.14,4.68,3
BACAU,5091,2152,2939,1281,3810,2.74,2.73,2.75,3
BRAILA,"3,392","1,465","1,927",340,"3,052",2.78,2.69,2.85,6
BRAILA,3427,1488,1939,377,3050,3.18,3.09,3.26,3
PRAHOVA,5822,2889,2933,1686,4136,2.19,2.63,1.88,3
GORJ,4134,2189,1945,993,3141,3.46,3.99,3.01,3
DAMBOVITA,"4,729","2,364","2,365",899,"3,830",2.44,2.97,2.08,6
BUZAU,7786,3303,4483,884,6902,5.49,5.23,5.7,3
CALARASI,"3,328","1,719","1,609",724,"2,604",3.69,3.96,3.43,6
CONSTANTA,"4,726","2,610","2,116",912,"3,814",1.6,2.04,1.26,6
BOTOSANI,"3,361","1,623","1,738",651,"2,710",2.46,2.53,2.39,6
BACAU,"5,862","2,549","3,313","1,262","4,600",2.73,2.71,2.74,6
GIURGIU,"2,066","1,138",928,318,"1,748",2.56,3.08,2.12,6
VALCEA,4421,2211,2210,1415,3006,3.18,3.7,2.79,3
BISTRITA NASAUD,"3,934","1,978","1,956","1,409","2,525",3.04,3.5,2.68,6
BRASOV,"5,186","2,553","2,633",706,"4,480",1.98,2.29,1.76,6
